time,mousex,mousey,inittarget,harvtarget,intrial,targetx,targety,blockvar
10561,733,612,1,0,1,720,400,1
10592,733,612,1,0,1,720,400,1
10605,733,612,1,0,1,720,400,1
10620,733,612,1,0,1,720,400,1
10633,733,612,1,0,1,720,400,1
10646,733,612,1,0,1,720,400,1
10659,733,612,1,0,1,720,400,1
10674,733,612,1,0,1,720,400,1
10687,733,612,1,0,1,720,400,1
10700,733,612,1,0,1,720,400,1
10714,733,612,1,0,1,720,400,1
10727,733,612,1,0,1,720,400,1
10740,733,612,1,0,1,720,400,1
10754,733,612,1,0,1,720,400,1
10767,733,612,1,0,1,720,400,1
10781,733,612,1,0,1,720,400,1
10794,733,612,1,0,1,720,400,1
10809,733,612,1,0,1,720,400,1
10823,733,612,1,0,1,720,400,1
10837,733,612,1,0,1,720,400,1
10849,733,612,1,0,1,720,400,1
10862,733,612,1,0,1,720,400,1
10875,733,612,1,0,1,720,400,1
10889,733,612,1,0,1,720,400,1
10901,733,612,1,0,1,720,400,1
10915,733,612,1,0,1,720,400,1
10929,733,612,1,0,1,720,400,1
10941,733,612,1,0,1,720,400,1
10956,733,612,1,0,1,720,400,1
10970,733,609,1,0,1,720,400,1
10987,733,606,1,0,1,720,400,1
11004,734,597,1,0,1,720,400,1
11016,738,565,1,0,1,720,400,1
11031,738,565,1,0,1,720,400,1
11046,740,536,0,0,1,720,400,1
11059,741,514,0,0,1,720,400,1
11073,741,514,0,0,1,720,400,1
11088,741,505,0,0,1,720,400,1
11105,741,479,0,0,1,720,400,1
11121,741,466,0,0,1,720,400,1
11137,740,460,0,0,1,720,400,1
11154,738,453,0,0,1,720,400,1
11169,735,445,0,1,1,720,400,1
11184,730,437,0,1,1,720,400,1
11197,727,433,0,1,1,720,400,1
11210,725,429,0,1,1,720,400,1
11226,725,429,0,1,1,720,400,1
11241,722,428,0,1,1,720,400,1
11257,720,426,0,1,1,720,400,1
11273,718,426,0,1,1,720,400,1
11288,717,425,0,1,1,720,400,1
11303,716,425,0,1,1,720,400,1
11317,715,425,0,1,1,720,400,1
11331,714,424,0,1,1,720,400,1
11346,714,423,0,1,1,720,400,1
11361,714,422,0,1,1,720,400,1
11376,714,422,0,1,1,720,400,1
11394,713,422,0,1,1,720,400,1
11407,713,421,0,1,1,720,400,1
11422,713,421,0,1,1,720,400,1
11437,713,421,0,1,1,720,400,1
11463,713,421,0,1,1,720,400,1
11479,713,422,0,1,1,720,400,1
11491,713,424,0,1,1,720,400,1
11505,713,429,0,1,1,720,400,1
11520,713,432,0,1,1,720,400,1
11533,713,442,0,1,1,720,400,1
11549,713,442,0,1,1,720,400,1
11561,713,463,0,0,1,720,400,1
11576,715,482,0,0,1,720,400,1
11590,717,504,0,0,1,720,400,1
11605,720,534,0,0,1,720,400,1
11618,720,534,0,0,1,720,400,1
11632,721,549,0,0,1,720,400,1
11646,722,562,1,0,1,720,400,1
11661,722,569,1,0,1,720,400,1
11677,722,574,1,0,1,720,400,1
11692,723,583,1,0,1,720,400,1
11707,723,588,1,0,1,720,400,1
11721,724,591,1,0,1,720,400,1
11735,724,593,1,0,1,720,400,1
11750,724,593,1,0,1,720,400,1
11766,724,595,1,0,1,720,400,1
11783,724,596,1,0,1,720,400,1
